user_name	user_verified
IndiaToday	TRUE
Carol Radull	TRUE
UCI	TRUE
Georgie Frost Éù?ã?è	TRUE
KTR	TRUE
Telegraph Sport	TRUE
News18 Sports	TRUE
Express Explained ???˙	TRUE
Great Britain Hockey	TRUE
The Field	TRUE
Candy Rodriguez	TRUE
Telegraph Sport	TRUE
AU 7s	TRUE
Kike Sarasola	TRUE
Devin Heroux	TRUE
WAVY TV 10	TRUE
The National	TRUE
International Hockey Federation	TRUE
SuperSport ??è?	TRUE
Sky Sports	TRUE
RT?? Sport	TRUE
News18 Sports	TRUE
Yahoo Singapore	TRUE
Monocle 24 Radio	TRUE
BBC Sport	TRUE
TASS	TRUE
7NEWS Sydney	TRUE
Philstar Sports Hub	TRUE
Owuraku Ampofo	TRUE
AllForXI	TRUE
Chris Wathan	TRUE
Guardian sport	TRUE
#AusOpen	TRUE
Katami Michelle	TRUE
??????èØCurtis S. Chin	TRUE
Samsung Mobile TZ	TRUE
Arvind Chauhan	TRUE
Evan Morgan Grahame	TRUE
Kate Richardson-Walsh OLY	TRUE
The Scotsman	TRUE
Dr K Laxman	TRUE
Sky Sports News	TRUE
Luisa Morales	TRUE
BBC Sport	TRUE
Nazaket Rather	TRUE
British Cycling	TRUE
UCI	TRUE
InKhabar	TRUE
SuperSport Blitz	TRUE
Firstpost Sports	TRUE
Hockey Wales	TRUE
Eurosport Sverige	TRUE
Ultimate Table Tennis	TRUE
RF Youth Sports	TRUE
Goal	TRUE
Sportface	TRUE
Ö??ÖùÅÖ??Ö??Ö??Ö??Ö?¯ Ö??Ö?®Ö??ÖùçÖ?¯Ö??	TRUE
Firstpost Sports	TRUE
Harry Wallop	TRUE
Anil Rai Gupta	TRUE
KolkataKnightRiders	TRUE
Ananth Krishnan	TRUE
The FEI	TRUE
Joey Villar	TRUE
Jacqueline Doorey	TRUE
Prasar Bharati News Services Ö?¶Öù?.Ö?™Öù?.Ö?èÖ??.Ö?èÖ??.	TRUE
Firstpost Sports	TRUE
Great Britain Hockey	TRUE
Team GB	TRUE
SuperSport Blitz	TRUE
GiveMeSportW	TRUE
Owuraku Ampofo	TRUE
UP POLICE	TRUE
Zanda Wilson	TRUE
Daniel Garb	TRUE
Firstpost Sports	TRUE
à?¯ç?ê	TRUE
Deccan Herald	TRUE
News18 Movies	TRUE
Sweta Goswami	TRUE
The FEI	TRUE
Firstpost Sports	TRUE
DNA	TRUE
